facilityID,siteID,name,county,huc8,type,aquifer,latitude,longitude,sampleDate,year,doy,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,TURB,Turbidity,Total,,39.4,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,SPEC-COND,Specific conductance,Total,,416,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,28.8,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,PH,pH,Total,,8.7,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,9.7,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/9/2007 17:00,2007,190,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.22,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/23/2007 10:20,2007,204,SHALLAKE,TURB,Turbidity,Total,,24.7,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/23/2007 10:20,2007,204,SHALLAKE,SPEC-COND,Specific conductance,Total,,500,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/23/2007 10:20,2007,204,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,25.1,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/23/2007 10:20,2007,204,SHALLAKE,PH,pH,Total,,8.9,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/23/2007 10:20,2007,204,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,8.2,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,7/23/2007 10:20,2007,204,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.23,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2007 9:20,2007,225,SHALLAKE,TURB,Turbidity,Total,,18.6,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2007 9:20,2007,225,SHALLAKE,SPEC-COND,Specific conductance,Total,,492,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2007 9:20,2007,225,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,27,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2007 9:20,2007,225,SHALLAKE,PH,pH,Total,,8.6,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2007 9:20,2007,225,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,5.3,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,8/13/2007 9:20,2007,225,SHALLAKE,DEPTH-SECCHI,"Depth, Secchi disk depth",Total,,0.26,m,TRUE,,,,Unknown,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/19/2007 15:20,2007,262,SHALLAKE,TURB,Turbidity,Total,,20.8,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/19/2007 15:20,2007,262,SHALLAKE,SPEC-COND,Specific conductance,Total,,426,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/19/2007 15:20,2007,262,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,21.6,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/19/2007 15:20,2007,262,SHALLAKE,PH,pH,Total,,8.8,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,9/19/2007 15:20,2007,262,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,14.7,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/3/2007 11:00,2007,276,SHALLAKE,TURB,Turbidity,Total,,25.7,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/3/2007 11:00,2007,276,SHALLAKE,SPEC-COND,Specific conductance,Total,,436,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/3/2007 11:00,2007,276,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,15.9,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/3/2007 11:00,2007,276,SHALLAKE,PH,pH,Total,,8.8,None,TRUE,,,,4500-H,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,10/3/2007 11:00,2007,276,SHALLAKE,7782-44-7,Dissolved oxygen (DO),Total,,11.6,mg/l,TRUE,,,,4500-O-G,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,4/29/2008 11:40,2008,120,SHALLAKE,TURB,Turbidity,Total,,35.8,NTU,TRUE,,,,180.1,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,4/29/2008 11:40,2008,120,SHALLAKE,SPEC-COND,Specific conductance,Total,,523,uS/cm,TRUE,,,,2510,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,4/29/2008 11:40,2008,120,SHALLAKE,TEMP-WATER,"Temperature, water",Total,,9,deg C,TRUE,,,,2550,,Actual,SW,Water,,
6,22130004,South Twin Lake,Calhoun,7100006,Lake,,42.46044663,-94.65373106,4/29/2008 11:40,2008,120,SHALLAKE,PH,pH,Total,,9.3,None,TRUE,,,,4500-H,,Actual,SW,Water,,
