facilityID,siteID,name,sampleDate,year,projectCode,cas_rn,analyte,fraction,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,22300010,Center Lake,07/20/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,6,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,09/02/10,2010,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,31,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/31/11,2011,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,12,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/18/11,2011,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,37,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,08/30/11,2011,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,59,ug/l,TRUE,5,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/30/12,2012,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,13,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/16/12,2012,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,44,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,08/31/12,2012,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,91,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/29/13,2013,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,2,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/16/13,2013,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,56,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,08/28/13,2013,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,46,ug/l,TRUE,2,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/03/14,2014,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,49.04,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/22/14,2014,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,77.84,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,09/03/14,2014,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,48.72,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/02/15,2015,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,12,ug/l,TRUE,6.06,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/21/15,2015,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,59,ug/l,TRUE,6.06,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,09/02/15,2015,AMBLAKE-ISU,479-61-8,Chlorophyll a,NonFilt,19,ug/l,TRUE,6.06,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,06/01/16,2016,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,8,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/18/16,2016,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,81,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,08/28/16,2016,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,48,ug/l,TRUE,1,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,05/31/17,2017,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,21,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,07/18/17,2017,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,3.3,ug/l,FALSE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
6,22300010,Center Lake,09/05/17,2017,AMBLAKE-ISU,479-61-8,Chlorophyll a,Filterable,11,ug/l,TRUE,3.3,,,445,ISULAKE,Actual,SW,Water,,,Dickinson,10230003,Lake,,43.412442,-95.138753
